"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","CPNCU","Current prices in NCU","1990","1990","EUR","Euro","0","Units",,,15349.5109692948,,
"IRL","Ireland","CPNCU","Current prices in NCU","1991","1991","EUR","Euro","0","Units",,,16411.9827776438,,
"IRL","Ireland","CPNCU","Current prices in NCU","1992","1992","EUR","Euro","0","Units",,,17601.7598956594,,
"IRL","Ireland","CPNCU","Current prices in NCU","1993","1993","EUR","Euro","0","Units",,,18872.3616456085,,
"IRL","Ireland","CPNCU","Current prices in NCU","1994","1994","EUR","Euro","0","Units",,,19507.7989648895,,
"IRL","Ireland","CPNCU","Current prices in NCU","1995","1995","EUR","Euro","0","Units",,,20402.1374669219,,
"IRL","Ireland","CPNCU","Current prices in NCU","1996","1996","EUR","Euro","0","Units",,,21420.8699264975,,
"IRL","Ireland","CPNCU","Current prices in NCU","1997","1997","EUR","Euro","0","Units",,,23208.5381970644,,
"IRL","Ireland","CPNCU","Current prices in NCU","1998","1998","EUR","Euro","0","Units",,,25550.4196814498,,
"IRL","Ireland","CPNCU","Current prices in NCU","1999","1999","EUR","Euro","0","Units",,,26894.3701808325,,
"IRL","Ireland","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,28790.1803993445,,
"IRL","Ireland","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,31012.2065757809,,
"IRL","Ireland","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,32771.6408578997,,
"IRL","Ireland","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,34875.2382477186,,
"IRL","Ireland","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,36604.5836800314,,
"IRL","Ireland","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,38595.168338005,,
"IRL","Ireland","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,39988.7253685742,,
"IRL","Ireland","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,42436.48222159,,
"IRL","Ireland","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,44496.2877358592,,
"IRL","Ireland","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,44635.1296368035,,
"IRL","Ireland","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,44152.7681570595,,
"IRL","Ireland","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,44087.6441821066,,
"IRL","Ireland","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,44215.7796334287,,
"IRL","Ireland","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,43617.3077607708,,
"IRL","Ireland","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,43688.5243579441,,
"IRL","Ireland","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,44106.0019206413,,
"IRL","Ireland","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,44901.1822256149,,
"IRL","Ireland","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,45946.3019611274,,
"IRL","Ireland","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,47190.5824218121,,
"IRL","Ireland","CPNCU","Current prices in NCU","2019","2019","EUR","Euro","0","Units",,,48998.8090190081,,
"IRL","Ireland","CPNCU","Current prices in NCU","2020","2020","EUR","Euro","0","Units",,,49521.6481401622,,
"IRL","Ireland","CPNCU","Current prices in NCU","2021","2021","EUR","Euro","0","Units",,,51675.6385689508,,
